image_names,typ,xmin,xmax,ymin,ymax

03012017-dji-phantom-flying-sky-260nw-554568589.jpg,Dron,210,348,85,169

03012017-dji-phantom-flying-sky-260nw-554568607.jpg,Dron,86,459,35,227

03012017-dji-phantom-flying-sky-260nw-554568664.jpg,Dron,124,270,52,178

03012017-dji-phantom-flying-sky-260nw-554568724.jpg,Dron,134,266,83,186

03012017-dji-phantom-flying-sky-260nw-555436891.jpg,Dron,2,299,101,250

03012017-dji-phantom-flying-sky-260nw-555436894.jpg,Dron,59,300,39,195

03012017-dji-phantom-flying-sky-260nw-555436897.jpg,Dron,25,329,32,204

03012017-dji-phantom-flying-sky-260nw-555436900.jpg,Dron,71,294,73,171

03012017-dji-phantom-flying-sky-260nw-555436903.jpg,Dron,146,273,92,154

09-february-2017-ufa-russia-260nw-1062076787.jpg,Dron,69,425,28,232

09-february-2017-ufa-russia-260nw-1062173864.jpg,Dron,28,387,14,228

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114880.jpg,Dron,34,240,124,222

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114889.jpg,Dron,48,348,70,238

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114895.jpg,Dron,0,289,102,208

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114904.jpg,Dron,13,390,23,234

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114913.jpg,Dron,2,363,59,225

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114916.jpg,Dron,41,390,61,238

18th-july-2017-kuantanpahangmalaysia-dji-260nw-681114922.jpg,Dron,22,233,82,225

19th-july-2017-pahang-malaysia-260nw-680436289.jpg,Dron,249,309,191,226

19th-july-2017-pahang-malaysia-260nw-680436295.jpg,Dron,38,342,85,224

19th-july-2017-pahang-malaysia-260nw-680436319.jpg,Dron,83,293,54,222

19th-july-2017-pahang-malaysia-260nw-680436325.jpg,Dron,73,387,81,206

19th-july-2017-pahang-malaysia-260nw-680436340.jpg,Dron,275,361,183,224

19th-july-2017-pahang-malaysia-260nw-680436343.jpg,Dron,155,338,30,168

19th-july-2017-pahang-malaysia-260nw-680436346.jpg,Dron,82,335,53,221

23-december-2016-phantom-4-260nw-543088960.jpg,Dron,134,258,82,171

25-may-2018-lviv-ukraine-260nw-1109034161.jpg,Dron,72,181,108,174

25-may-2018-lviv-ukraine-260nw-1109034164.jpg,Dron,103,288,18,158

